サービス種類,市区町村名,団体コード,事業所名,法人名,法人種別,事業所番号,住所,電話番号,指定年月日,事業所種別,利用可能曜日,定員,公式サイト,緯度,経度
訪問介護,千代田区,13101,ニチイケアセンター神田,株式会社ニチイ学館,営利法人,1370100248,東京都千代田区神田小川町１－１山甚ビル６Ｆ,03-5283-0328,2000-04-01,,平日・土曜日・日曜日・祝日,,http://www.nichiigakkan.co.jp/,35.694730799999990,139.766819299999950
訪問介護,千代田区,13101,特定非営利活動法人　ホープ,特定非営利活動法人ホープ,非営利法人（NPO）,1370100800,東京都千代田区飯田橋１－１２－１６福岡ビル２階,03-3221-4266,2006-01-01,,平日・土曜日,16,https://care.hope-npo.org/,35.698176341690534,139.749225291827800
訪問介護,千代田区,13101,ケアワーク千代田,有限会社ケアワーク千代田,営利法人,1370100875,東京都千代田区九段北１－１４－１６ＰＩＬＥ　ＫＵＤＡＮ　２０４,03-3221-4370,2006-07-01,,平日・土曜日・日曜日・祝日,10,http://carework-chiyoda.jp/,35.696256600541850,139.749173881375870
訪問介護,千代田区,13101,かんだ連雀　ホームヘルプサービス,社会福祉法人多摩同胞会,社会福祉法人（社協以外）,1370101139,東京都千代田区神田淡路町２－８－１,03-3252-8815,2010-11-01,,平日・土曜日・祝日,,http://tama-dhk.or.jp,35.696655600000000,139.768444199999980
訪問介護,千代田区,13101,グッドライフケア訪問介護　千代田,株式会社グッドライフケア,営利法人,1370101303,東京都千代田区九段北２－３－７前川九段ビル２階,03-6272-6475,2012-09-01,,平日・土曜日・日曜日・祝日,,https://goodlifecare.co.jp/,35.695165559642800,139.745546860167450
訪問介護,千代田区,13101,ことりのひな,株式会社やさしいきもち,営利法人,1370101451,東京都千代田区神田須田町１－８－３メトロフロント神田１２０５号,03-6206-9087,2016-06-01,,,,,,
訪問介護,千代田区,13101,いちご訪問介護,特定非営利活動法人いちごの会,非営利法人（NPO）,1370101519,東京都千代田区神田東松下町２２－１こもれび千桜１階,03-6260-9815,2017-06-01,,平日・祝日,,https://www.ichigonokai.com,35.696176226851290,139.775022959611420
訪問介護,千代田区,13101,ケアリッツお茶の水,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370101535,東京都千代田区神田神保町２－１８第２鈴木ビル２階,03-6261-4361,2017-11-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/ochanomizu/,35.697144236126924,139.757046069328900
訪問介護,千代田区,13101,レインボーハートケア,株式会社レインボーハート,営利法人,1370101550,東京都千代田区三番町７－１　２０９号室,03-3222-1412,2019-09-01,,平日・祝日,,https://rainbowheart.co.jp/index.html,35.690297800000000,139.742884500000000
訪問介護,千代田区,13101,ケア２１　九段,株式会社ケア２１,営利法人,1370101634,東京都千代田区九段南３－２－１５大塚ビル１階,03-5216-2821,2022-03-01,,平日・土曜日・日曜日・祝日,,https://care21.co.jp,35.692117400000000,139.743200900000000
訪問介護,千代田区,13101,ＳＯＭＰＯケア　千代田港　訪問介護,ＳＯＭＰＯケア株式会社,営利法人,1370101667,東京都千代田区麹町４－５－４桜井ビル５階,03-6268-9654,2022-09-01,,平日・土曜日・日曜日・祝日,100,https://www.sompocare.com/service/zaitaku/kaigo/Z000870?service=elderly,35.683537600000000,139.736814000000000
訪問介護,千代田区,13101,ゆめかケア　神保町本店,株式会社ゆめか,営利法人,1370101758,東京都千代田区神田神保町２－３８－１１岩田ビル３階,03-6555-5404,2023-11-01,,平日,,https://yumekaigo.co.jp/,35.697715900000000,139.755050200000000
訪問介護,千代田区,13101,心介護センター,有限会社のぞみ,営利法人,1370101766,東京都千代田区神田佐久間町３－２１－６０２号,03-5827-8185,2024-03-01,,,,,,
訪問介護,千代田区,13101,パール訪問介護事業所,有限会社しんみケアーセンター,営利法人,1370101782,東京都千代田区三番町７－２ヴィラロイヤル三番町６０３,03-3556-6446,2024-07-01,,平日・土曜日・日曜日・祝日,80,,35.690294200000010,139.742533700000000
訪問介護,千代田区,13101,ハイサポート東京,株式会社ＡＳＸＥＥＤ,営利法人,1370101808,東京都千代田区神田神保町１－９－５大雲堂ビル４Ｆ,03-6803-3950,2025-01-01,,平日・土曜日・日曜日・祝日,,http://asxeed-inc.co.jp,35.695763500000000,139.758530800000000
