地域階層,地域コード,地域,年少人口(0～14歳)／総数(人),年少人口(0～14歳)／男(人),年少人口(0～14歳)／女(人),生産年齢人口(15～64歳)／総数(人),生産年齢人口(15～64歳)／男(人),生産年齢人口(15～64歳)／女(人),老年人口(65歳以上)／総数(人),老年人口(65歳以上)／男(人),老年人口(65歳以上)／女(人)
0,13000,総数,1504225,769576,734649,9414288,4768964,4645324,3159039,1370995,1788044
1,13100,区部,1026173,524090,502083,6720821,3392103,3328718,2049729,886058,1163671
4,13101,千代田区,8936,4518,4418,48632,25035,23597,11571,4995,6576
4,13102,中央区,26092,13216,12876,137723,66582,71141,27200,11528,15672
4,13103,港区,36036,18235,17801,186913,89310,97603,46928,19511,27417
4,13104,新宿区,29309,15025,14284,259205,134539,124666,66611,28845,37766
4,13105,文京区,29415,14946,14469,163612,79426,84186,43954,18396,25558
4,13106,台東区,17512,8846,8666,155744,81381,74363,44256,20203,24053
4,13107,墨田区,27087,13759,13328,202728,102527,100201,59018,25763,33255
4,13108,江東区,63403,32478,30925,367196,185161,182035,112594,48679,63915
4,13109,品川区,46624,23782,22842,288487,145662,142825,80533,34453,46080
4,13110,目黒区,29960,15441,14519,197091,94834,102257,55556,23123,32433
4,13111,大田区,73325,37557,35768,507505,260167,247338,164218,72524,91694
4,13112,世田谷区,102079,52179,49900,634278,306057,328221,192309,81200,111109
4,13113,渋谷区,23162,11610,11552,164397,80993,83404,43321,18012,25309
4,13114,中野区,29751,15281,14470,247307,130312,116995,66736,28492,38244
4,13115,杉並区,58926,30000,28926,401985,198809,203176,121725,51604,70121
4,13116,豊島区,25738,13130,12608,214410,110843,103567,55981,24241,31740
4,13117,北区,37140,18967,18173,246750,127712,119038,83542,35925,47617
4,13118,荒川区,23081,11742,11339,153155,78458,74697,48548,21426,27122
4,13119,板橋区,56864,29069,27795,395155,198814,196341,131509,57236,74273
4,13120,練馬区,83589,42872,40717,501992,248806,253186,164978,70974,94004
4,13121,足立区,70427,35967,34460,464677,241601,223076,168265,73895,94370
4,13122,葛飾区,49708,25627,24081,309518,159849,149669,113332,49846,63486
4,13123,江戸川区,78009,39843,38166,472361,245225,227136,147044,65187,81857
1,13200,市部,470318,241474,228844,2651544,1354191,1297353,1082305,472676,609629
4,13201,八王子市,55729,28770,26959,345985,180322,165663,157041,69798,87243
4,13202,立川市,20793,10608,10185,120160,62078,58082,46487,20055,26432
4,13203,武蔵野市,16825,8648,8177,97122,47799,49323,34011,14365,19646
4,13204,三鷹市,22647,11624,11023,125763,62958,62805,42673,18291,24382
4,13205,青梅市,11522,5932,5590,75019,39617,35402,42028,19139,22889
4,13206,府中市,30424,15509,14915,172118,89007,83111,59620,26434,33186
4,13207,昭島市,13575,6936,6639,71913,37302,34611,30561,13467,17094
4,13208,調布市,27948,14210,13738,160206,80206,80000,52920,22667,30253
4,13209,町田市,47995,24732,23263,264497,134312,130185,117936,51019,66917
4,13210,小金井市,15650,8058,7592,82771,41708,41063,27549,12236,15313
4,13211,小平市,24408,12585,11823,125498,63364,62134,47498,20590,26908
4,13212,日野市,21928,11390,10538,120516,62679,57837,46750,20457,26293
4,13213,東村山市,16686,8617,8069,94048,47560,46488,41402,17810,23592
4,13214,国分寺市,16133,8352,7781,84888,42857,42031,29055,12603,16452
4,13215,国立市,8122,4206,3916,49327,24698,24629,19011,8252,10759
4,13218,福生市,5318,2696,2622,35909,18999,16910,15669,7000,8669
